packing,res_time_sec,state,compound,flow_mlmin,flow_max_mlmin,conc,plasma_power_watt,source_power_watt,gas_temp_in_dgc,gas_temp_out_dgc
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,CO2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,blank,N2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,CO2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,N2,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,CO,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
,,plasma,O2,,,,,,,
