material,res_time_sec,state,compound,atoms_c,atoms_h,atoms_o,flow_mlmin,flow_max_mlmin,conc,plasma_power_watt,source_power_watt,plasma_temp_celc
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,blank,CO2,1,0,2,,,,0,0,
,,blank,CH4,1,4,0,,,,0,0,
,,blank,N2,0,0,0,,,,0,0,
,,plasma,CO2,1,0,2,,,,,,
,,plasma,CH4,1,4,0,,,,,,
,,plasma,N2,0,0,0,,,,,,
,,plasma,CO,1,0,1,,,,,,
,,plasma,H2,0,2,0,,,,,,
,,plasma,O2,0,0,2,,,,,,
,,plasma,C2H6,2,6,0,,,,,,
,,plasma,C2H4,2,4,0,,,,,,
,,plasma,C2H2,2,2,0,,,,,,
,,plasma,C3H8,3,8,0,,,,,,
,,plasma,CH3OCH3,2,6,1,,,,,,
,,plasma,CH3OH,1,4,1,,,,,,
,,plasma,C2H5OH,2,6,1,,,,,,
,,plasma,CO2,1,0,2,,,,,,
,,plasma,CH4,1,4,0,,,,,,
,,plasma,N2,0,0,0,,,,,,
,,plasma,CO,1,0,1,,,,,,
,,plasma,H2,0,2,0,,,,,,
,,plasma,O2,0,0,2,,,,,,
,,plasma,C2H6,2,6,0,,,,,,
,,plasma,C2H4,2,4,0,,,,,,
,,plasma,C2H2,2,2,0,,,,,,
,,plasma,C3H8,3,8,0,,,,,,
,,plasma,CH3OCH3,2,6,1,,,,,,
,,plasma,CH3OH,1,4,1,,,,,,
,,plasma,C2H5OH,2,6,1,,,,,,
,,plasma,CO2,1,0,2,,,,,,
,,plasma,CH4,1,4,0,,,,,,
,,plasma,N2,0,0,0,,,,,,
,,plasma,CO,1,0,1,,,,,,
,,plasma,H2,0,2,0,,,,,,
,,plasma,O2,0,0,2,,,,,,
